prices,carburant,chevaux,BoiteVitesse,seller_type,city ,type ,KMS,modele,marque,Anciennete
,Diesel,6,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",47499.5,Megane Sedan,Renault,2
233000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",124999.5,Serie 5,BMW,8
65000,Diesel,6,,private,Sale,"Voitures d'occasion, Vente",194999.5,206+,Peugeot,12
,Diesel,6,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",42499.5,208,Peugeot,2
155000,Diesel,8,Automatique,private,Beni Mellal,"Voitures d'occasion, Vente",224999.5,GOLF 6,Volkswagen,11
,Diesel,8,Manuelle,shop,Sale,"Voitures d'occasion, Vente",22499.5,GOLF 7,Volkswagen,1
57000,Essence,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,Aygo,Toyota,10
178000,Diesel,8,Automatique,private,Agadir,"Voitures d'occasion, Vente",184999.5,Tiguan,Volkswagen,10
43000,Essence,9,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",52499.5,Civic,Honda,26
63000,Diesel,7,,private,Rabat,"Voitures d'occasion, Vente",224999.5,Berlingo,Citroen,14
90000,Diesel,8,Manuelle,private,Tanger,"Voitures d'occasion, Vente",224999.5,RAV 4,Toyota,14
,Diesel,,,private,Tanger,"Voitures d'occasion, Vente",17499.5,Sprinter,Mercedes-Benz,9
,Diesel,8,Automatique,private,Safi,"Voitures d'occasion, Vente",87499.5,Superb,Skoda,4
,Diesel,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Classe C,Mercedes-Benz,0
,Diesel,12,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",92499.5,Touareg,Volkswagen,4
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",77499.5,Range Rover,Land Rover,3
,Diesel,6,Manuelle,private,Rabat,"Voitures d'occasion, Vente",17499.5,Giulietta,Alfa Romeo,8
,Diesel,6,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",47499.5,C-Elysee,Citroen,3
128000,Diesel,6,,private,Sale,"Voitures d'occasion, Vente",32499.5,TIPO,Fiat,2
287000,Diesel,7,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",72499.5,Tucson,Hyundai,3
,Essence,6,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",62499.5,208,Peugeot,5
280000,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",82499.5,XF,Jaguar,6
370000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,A5,Audi,3
235000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",104999.5,Q5,Audi,9
,Essence,29,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",42499.5,Range Rover,Land Rover,2
118000,Diesel,6,,private,Rabat,"Voitures d'occasion, Vente",154999.5,Partner,Peugeot,5
98000,Diesel,8,,private,Casablanca,"Voitures d'occasion, Vente",194999.5,Passat,Volkswagen,12
39000,Diesel,7,Manuelle,private,Marrakech,"Voitures d'occasion, Vente",17499.5,Palio,Fiat,19
122000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",87499.5,C3,Citroen,4
260000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",97499.5,Serie 3,BMW,5
,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",22499.5,Classe CLA,Mercedes-Benz,3
,Diesel,,,shop,Tanger,"Voitures d'occasion, Vente",2499.5,Tiguan,Volkswagen,0
,Diesel,6,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",62499.5,Megane,Renault,5
49000,Essence,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",144999.5,Logan,Dacia,9
